Squad,# Pl,90s,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,GCAOG
Arsenal,29,27,495,18.33,365,30,32,26,34,8,61,2.26,42,2,6,4,6,1,0
Aston Villa,21,27,617,22.85,441,59,41,29,37,10,67,2.48,48,6,1,5,5,2,0
Brighton,26,27,554,20.52,413,45,25,34,27,10,39,1.44,29,3,0,2,5,0,0
Burnley,24,28,381,13.61,270,42,17,20,24,8,25,0.89,13,4,2,3,2,1,0
Chelsea,27,28,669,23.89,500,60,28,32,35,14,74,2.64,50,6,4,5,8,1,0
Crystal Palace,22,28,385,13.75,275,35,29,10,29,7,50,1.79,35,4,4,2,4,1,0
Everton,26,27,416,15.41,305,41,20,16,26,8,65,2.41,43,7,2,9,4,0,0
Fulham,25,28,547,19.54,411,47,35,21,25,8,40,1.43,29,2,4,2,2,1,0
Leeds United,22,27,605,22.41,456,49,30,33,22,15,73,2.7,54,3,5,6,4,1,0
Leicester City,26,28,535,19.11,386,30,33,30,34,22,79,2.82,55,2,6,5,9,2,0
Liverpool,28,28,639,22.82,486,44,30,37,31,11,61,2.18,40,4,4,8,4,1,0
Manchester City,23,29,752,25.93,556,43,63,37,29,24,99,3.41,68,2,11,10,4,4,0
Manchester Utd,25,28,639,22.82,460,57,30,33,42,17,91,3.25,64,7,2,6,9,3,0
Newcastle Utd,27,28,436,15.57,291,58,25,11,37,14,44,1.57,33,3,2,1,5,0,0
Sheffield Utd,24,28,377,13.46,286,32,23,15,12,9,20,0.71,12,2,1,2,3,0,0
Southampton,29,28,430,15.36,298,40,26,21,34,11,60,2.14,35,5,5,4,8,3,0
Tottenham,24,27,497,18.41,344,37,37,25,40,14,83,3.07,61,6,6,4,4,2,0
West Brom,30,28,336,12,245,35,19,17,16,4,34,1.21,23,3,1,3,3,1,0
West Ham,24,27,504,18.67,341,59,22,38,38,6,65,2.41,38,10,0,12,5,0,0
Wolves,25,28,543,19.39,364,50,49,32,34,14,42,1.5,20,4,6,8,4,0,0
