Squad,# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG,npxG,xA,npxG+xA,Xg90,xA90,xG+xA90,npxG90,npxG+xA90
Arsenal,29,26.7,52.8,35,26,30,5,5,40,5,1.3,0.96,2.26,1.11,2.07,37.5,33.8,24.3,58,1.39,0.9,2.29,1.25,2.15
Aston Villa,21,25.8,49,37,29,34,3,4,48,2,1.37,1.07,2.44,1.26,2.33,39.4,36.5,28,64.5,1.46,1.04,2.5,1.35,2.39
Brighton,26,26.3,51.8,26,16,21,5,8,37,3,0.96,0.59,1.56,0.78,1.37,38.7,32.6,24.2,56.8,1.43,0.9,2.33,1.21,2.1
Burnley,24,29,41.3,19,10,18,1,1,35,0,0.68,0.36,1.04,0.64,1,25.5,24.7,17,41.8,0.91,0.61,1.52,0.88,1.49
Chelsea,27,26.7,61.6,42,28,35,7,9,35,1,1.5,1,2.5,1.25,2.25,44.6,37.7,28.2,66,1.59,1.01,2.6,1.35,2.36
Crystal Palace,22,29.8,40.5,28,21,26,2,2,38,2,1,0.75,1.75,0.93,1.68,22,20.6,15.3,35.8,0.78,0.55,1.33,0.73,1.28
Everton,26,26.9,46.7,38,26,35,3,3,46,2,1.41,0.96,2.37,1.3,2.26,31.9,29.8,21.4,51.2,1.18,0.79,1.98,1.1,1.9
Fulham,25,25.9,49.6,21,15,19,2,5,52,3,0.75,0.54,1.29,0.68,1.21,31.3,28.3,21.4,49.7,1.12,0.76,1.88,1.01,1.77
Leeds United,22,26.7,60.7,42,31,39,3,3,40,0,1.56,1.15,2.7,1.44,2.59,41.7,39.4,30.5,69.9,1.54,1.13,2.67,1.46,2.59
Leicester City,26,27.2,52.8,45,30,37,8,10,50,0,1.61,1.07,2.68,1.32,2.39,40,32.4,22.3,54.7,1.43,0.8,2.22,1.16,1.95
Liverpool,28,27.6,63.5,44,27,38,6,6,31,0,1.57,0.96,2.54,1.36,2.32,50.7,46.2,33,79.2,1.81,1.18,2.99,1.65,2.83
Manchester City,23,26.8,64.4,60,39,56,4,7,30,0,2.07,1.34,3.41,1.93,3.28,55.9,50.6,38.8,89.4,1.93,1.34,3.26,1.75,3.08
Manchester Utd,25,26.4,55.6,53,37,45,8,9,44,1,1.89,1.32,3.21,1.61,2.93,44.1,37.3,28.5,65.8,1.58,1.02,2.59,1.33,2.35
Newcastle Utd,27,27.7,39.1,27,18,23,4,4,53,2,0.96,0.64,1.61,0.82,1.46,26.3,23.3,18.5,41.7,0.94,0.66,1.6,0.83,1.49
Sheffield Utd,24,27.2,41.4,15,11,12,3,4,53,3,0.54,0.39,0.93,0.43,0.82,24.4,21.4,17.7,39,0.87,0.63,1.5,0.76,1.39
Southampton,29,27.4,52.6,35,23,31,4,4,43,2,1.25,0.82,2.07,1.11,1.93,28.5,25.5,18.2,43.7,1.02,0.65,1.67,0.91,1.56
Tottenham,24,27.9,50.5,45,39,42,3,3,38,1,1.67,1.44,3.11,1.56,3,36.9,34.7,26.8,61.5,1.37,0.99,2.36,1.28,2.28
West Brom,30,27.1,37.6,19,11,17,2,2,38,4,0.68,0.39,1.07,0.61,1,20.1,18.6,12.2,30.8,0.72,0.43,1.15,0.67,1.1
West Ham,24,28.4,41.3,40,29,39,1,2,33,1,1.48,1.07,2.56,1.44,2.52,37.4,35.7,24.8,60.6,1.38,0.92,2.31,1.32,2.24
Wolves,25,27,47.3,26,15,22,4,4,42,1,0.93,0.54,1.46,0.79,1.32,29.2,26.1,19.2,45.3,1.04,0.69,1.73,0.93,1.62
