Club Name,Club value at 2018-01-15 (mil),Current club value (mil)
Liverpool FC,527.40,1010.00
Manchester City,704.25,950.67
Chelsea FC,636.08,723.15
Manchester United,633.15,664.52
Tottenham Hotspur,610.20,647.69
Arsenal FC,455.36,498.60
Everton FC,301.73,442.35
Leicester City,231.30,421.65
Wolverhampton Wanderers,67.19,385.38
Aston Villa,71.33,298.17
Newcastle United,130.50,250.83
West Ham United,198.00,244.22
Brighton & Hove Albion,93.96,223.97
Southampton FC,209.34,215.60
Crystal Palace,168.30,200.61
Fulham FC,65.93,195.30
Leeds United,42.08,175.03
Sheffield United,12.62,154.26
Burnley FC,109.89,136.49
West Bromwich Albion,135.54,119.12
